review,rating,helpful_count,date,brand_reply,reply_date,sentiment,product,theme,month
"Very disappointing customer service. I reported a missing product and filled out the required missing product form as instructed. I was told I would receive an update within 3–4 days, but it's been longer and I still haven't received any response or status update. I've also contacted customer support multiple times, but I only receive automated replies. I expected better support and timely resolution. Please look into my issue and provide an update as soon as possible.",1,0,26-06-2026 07:19,"Hi, apologies for the slight delay. The resolution for your missing item concern has been shared via email. Kindly check your inbox, and if you need any further assistance, write to us at care@dotandkey.com. We're happy to help.

Team Dot & Key",26-06-2026 08:50,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-06
worst app ever na to isme ye bta rhe h ki order kab ayega aur ismein order type pending hai,1,0,26-06-2026 06:35,"Hi, Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly.- Team Dot & Key",26-06-2026 09:04,Negative,Dot & Key App,"Delivery & Orders, App Experience",2026-06
not able to login on the app,1,0,24-06-2026 11:26,"Dear Customer, we’re sorry for your experience. This isn’t what we aim to provide. Please refresh the app, log out & log back in, and ensure it’s updated. If the issue persists, share your order ID at [care@dotandkey.com] so we can assist you quickly. Thank you for your patience. Team Dot&Key!

",24-06-2026 13:01,Negative,Dot & Key App,App Experience,2026-06
love it,5,0,24-06-2026 11:26,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",24-06-2026 13:00,Positive,Dot & Key App,General,2026-06
nice products,5,0,24-06-2026 08:05,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",24-06-2026 13:00,Positive,Dot & Key App,Product Quality,2026-06
Thank you...,4,0,24-06-2026 06:57,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!,16-06-2026 06:34,Positive,Dot & Key App,General,2026-06
Excellent,5,0,24-06-2026 06:31,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!,24-06-2026 07:46,Positive,Dot & Key App,General,2026-06
a worst app ever sabse ghatiya app hai delevery ka koi update nhi dete h ye log order hone ke badh apke hi account apko apki order service nhi dikhti,1,0,24-06-2026 06:18,"Dear Customer, we’re sorry for your experience. This isn’t what we aim to provide. Please refresh the app, log out & log back in, and ensure it’s updated. If the issue persists, share your order ID at [care@dotandkey.com] so we can assist you quickly. Thank you for your patience. Team Dot&Key!",24-06-2026 07:54,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-06
My mom's Choice so I am 100% sure this product is worthful so go guyzzzzz with Tinted Sunscreen 🥰Tan se bacho Tinted Sunscreen lagao just go for it,5,0,23-06-2026 15:16,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",24-06-2026 05:35,Positive,Dot & Key App,Product Quality,2026-06
for skin care it is perfect 👌,4,0,23-06-2026 09:48,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,23-06-2026 12:36,Positive,Dot & Key App,Product Quality,2026-06
good,5,0,22-06-2026 19:07,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,23-06-2026 04:29,Positive,Dot & Key App,General,2026-06
